nohup: ignoring input
Starting Power Logger...
2026-02-07 11:00:11.548663: 1929
2026-02-07 11:00:12.549299: 1964
2026-02-07 11:00:13.550397: 1706
2026-02-07 11:00:14.551513: 1706
2026-02-07 11:00:15.553231: 1631
2026-02-07 11:00:16.554323: 1926
2026-02-07 11:00:17.555484: 1926
2026-02-07 11:00:18.556577: 1964
2026-02-07 11:00:19.557243: 1964
2026-02-07 11:00:20.558348: 1706
2026-02-07 11:00:21.560518: 1745
2026-02-07 11:00:22.561222: 1706
2026-02-07 11:00:23.566263: 1706
2026-02-07 11:00:24.567405: 1929
2026-02-07 11:00:25.568497: 1926
2026-02-07 11:00:26.569829: 1745
2026-02-07 11:00:27.571006: 1706
2026-02-07 11:00:28.572107: 1706
2026-02-07 11:00:29.573352: 1964
2026-02-07 11:00:30.577575: 1926
2026-02-07 11:00:31.578675: 1926
2026-02-07 11:00:32.579762: 1926
2026-02-07 11:00:33.581788: 1667
2026-02-07 11:00:34.582880: 1706
2026-02-07 11:00:35.583972: 2003
2026-02-07 11:00:36.586470: 1706
2026-02-07 11:00:37.587570: 1929
2026-02-07 11:00:38.588666: 1964
2026-02-07 11:00:39.589204: 1742
2026-02-07 11:00:40.590334: 1745
2026-02-07 11:00:41.591898: 1706
2026-02-07 11:00:42.593004: 1706
2026-02-07 11:00:43.594935: 1706
2026-02-07 11:00:44.596184: 1926
2026-02-07 11:00:45.597268: 1926
2026-02-07 11:00:46.598354: 1709
2026-02-07 11:00:47.599445: 1706
2026-02-07 11:00:48.627786: 1670
2026-02-07 11:00:49.629005: 1929
2026-02-07 11:00:50.630245: 1926
2026-02-07 11:00:51.631392: 2000
2026-02-07 11:00:52.632575: 1926
2026-02-07 11:00:53.633686: 2940
2026-02-07 11:00:54.634887: 2585
2026-02-07 11:00:55.636127: 2547
2026-02-07 11:00:56.637400: 2585
2026-02-07 11:00:57.638563: 2547
2026-02-07 11:00:58.639800: 2551
2026-02-07 11:00:59.640997: 2547
2026-02-07 11:01:00.641276: 2656
2026-02-07 11:01:01.642417: 2513
2026-02-07 11:01:03.090750: 3803
2026-02-07 11:01:04.092115: 2727
2026-02-07 11:01:05.093483: 2765
2026-02-07 11:01:06.094677: 2694
2026-02-07 11:01:07.096357: 2694
2026-02-07 11:01:08.097387: 2727
2026-02-07 11:01:09.122030: 2368
2026-02-07 11:01:10.123246: 2513
2026-02-07 11:01:11.124458: 2656
2026-02-07 11:01:12.125695: 2836
2026-02-07 11:01:13.164735: 2475
2026-02-07 11:01:14.166079: 2832
2026-02-07 11:01:15.259494: 2656
2026-02-07 11:01:16.260892: 2727
2026-02-07 11:01:17.448857: 2441
2026-02-07 11:01:18.450202: 2623
2026-02-07 11:01:19.451327: 4077
2026-02-07 11:01:20.452446: 4954
2026-02-07 11:01:21.453239: 4981
2026-02-07 11:01:22.454376: 4981
2026-02-07 11:01:23.455496: 4981
2026-02-07 11:01:24.456664: 4990
2026-02-07 11:01:25.457239: 4954
2026-02-07 11:01:26.458361: 5017
